app,risk
powershell.exe,9
lsass.exe,10
svchost.exe,9
csrss.exe,8
smss.exe,8
explorer.exe,7
wininit.exe,9
chrome.exe,7
services.exe,8
winlogin.exe,8
cmd.exe,9
mshta.exe,7
rundll32.exe,9
dllhost.exe,7
regedit.exe,7
regedt32.exe,7
reg.exe,7
certutil.exe,7
net.exe,7
winword.exe,5
excel.exe,5
powerpnt.exe,5
